"","Alcohol","Alucinógenos","Anfetaminas","Cocaína","Crack","Esteroides Anabólicos","Estimulantes","Éxtasis/MDMA","Fenilciclidina","Heroína","Hipnóticos","Hongos","Inhalables","Lsd","Marihuana","Metadona","Metanfetaminas y Otros Derivados","Opioides","Otros","Pasta Base","Sedantes","Sedantes/Benzodiacepinas","Tranquilizantes"
"Alcohol",306,334,1111,69780,179,19,702,493,5,52,262,122,1182,408,74757,15,193,769,3165,71783,1870,5681,121
"Alucinógenos",334,12,6,271,1,0,9,33,0,7,1,7,11,18,346,0,2,14,18,149,20,8,3
"Anfetaminas",1111,6,0,952,4,0,20,24,0,3,8,7,25,13,872,0,11,27,21,659,18,92,1
"Cocaína",69780,271,952,16,148,11,362,540,5,71,155,118,549,464,47950,16,163,554,1286,37270,1194,2278,80
"Crack",179,1,4,148,0,0,0,5,0,11,1,0,4,6,133,0,5,3,2,186,4,6,0
"Esteroides Anabólicos",19,0,0,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,4,0,2,0
"Estimulantes",702,9,20,362,0,0,16,29,0,0,4,2,7,11,405,1,5,17,52,237,19,35,5
"Éxtasis/MDMA",493,33,24,540,5,0,29,0,1,4,1,33,11,103,573,0,11,26,12,111,53,16,0
"Fenilciclidina",5,0,0,5,0,0,0,1,0,2,0,2,0,0,8,0,0,2,0,2,0,0,0
"Heroína",52,7,3,71,11,0,0,4,2,0,1,0,0,9,41,1,1,2,3,38,0,5,0
"Hipnóticos",262,1,8,155,1,0,4,1,0,1,0,0,0,0,106,0,3,11,22,67,24,38,3
"Hongos",122,7,7,118,0,0,2,33,2,0,0,0,2,26,174,0,3,11,4,36,9,3,0
"Inhalables",1182,11,25,549,4,0,7,11,0,0,0,2,0,10,1020,0,2,10,38,1066,14,87,2
"Lsd",408,18,13,464,6,0,11,103,0,9,0,26,10,0,526,0,6,17,6,125,15,21,2
"Marihuana",74757,346,872,47950,133,9,405,573,8,41,106,174,1020,526,6,16,162,718,1639,55791,1314,2572,73
"Metadona",15,0,0,16,0,0,1,0,0,1,0,0,0,0,16,0,0,9,0,7,1,3,0
"Metanfetaminas y Otros Derivados",193,2,11,163,5,0,5,11,0,1,3,3,2,6,162,0,0,14,6,101,11,19,1
"Opioides",769,14,27,554,3,0,17,26,2,2,11,11,10,17,718,9,14,0,71,335,109,170,12
"Otros",3165,18,21,1286,2,4,52,12,0,3,22,4,38,6,1639,0,6,71,42,1412,57,194,4
"Pasta Base",71783,149,659,37270,186,4,237,111,2,38,67,36,1066,125,55791,7,101,335,1412,8,694,1914,35
"Sedantes",1870,20,18,1194,4,0,19,53,0,0,24,9,14,15,1314,1,11,109,57,694,2,0,9
"Sedantes/Benzodiacepinas",5681,8,92,2278,6,2,35,16,0,5,38,3,87,21,2572,3,19,170,194,1914,0,2,0
"Tranquilizantes",121,3,1,80,0,0,5,0,0,0,3,0,2,2,73,0,1,12,4,35,9,0,0
