"sustancia","grado","fuerza","intermediacion","cercania","eigenvector"
"Alcohol",10,230800,11,4.92610837438424e-05,1
"Marihuana",11,187732,13,6.42921435000643e-05,0.879569805994991
"Pasta Base",8,170589,6,5.14006682086867e-05,0.831050319098583
"Cocaína",10,162353,21,6.63834306956983e-05,0.790460456348566
"Sedantes/Benzodiacepinas",4,12445,0,2.87769784172662e-05,0.0625731010354541
"Otros",4,7502,0,3.9329819869425e-05,0.0375209969193619
"Sedantes",4,5072,0,4.81324605313824e-05,0.0250982050568423
"Inhalables",4,3817,0,5.76535024502739e-05,0.0187645206201293
"Anfetaminas",4,3594,7,5.79575750550597e-05,0.0175452589784388
"Opioides",3,2041,12,5.8671673316123e-05,0.0101492562598367
"Éxtasis/MDMA",2,1113,2,5.33333333333333e-05,0.00513877175206431
"Estimulantes",1,702,0,3.5686246520591e-05,0.00387543450659782
"Lsd",1,526,0,4.68603561387067e-05,0.00255410852302314
